签号,签级,签题,签文,解文,权重
1,凶,狂风折木,狂风骤雨折庭柯，万物凋零奈若何。劝君急避深林里，莫待倾巢损更多。,财运：大破财，忌一切投资、借贷、合伙；事业：诸事大败，立即停止所有项目；感情：决裂、背叛、争吵不休；健康：突发疾病、意外受伤；今日建议：守宅不出，不与人争，破财免灾。,30
2,凶,险滩行舟,险滩行舟浪拍天，舵折帆倾势倒悬。进退两难无计施，唯有守命待时迁。,财运：血本无归，投资必败；事业：进退维谷，努力无用；感情：冷战、分手、第三者插足；健康：重病缠身，需立即就医；今日建议：不动不做，不投资，不出行。,30
3,凶,小人当道,小人得志乱朝纲，忠良受屈暗神伤。口舌是非缠不休，祸起萧墙无处藏。,财运：被人算计、被骗、破财；事业：被陷害、背锅、裁员；感情：被挑拨离间、误会重重；健康：气郁伤身、失眠多梦；今日建议：少说话，少出头，远离小人。,30
4,凶,大破财星,黄金散尽复何求，费尽心思总是愁。纵有良田千万顷，一朝倾覆水东流。,财运：严重破财，倾家荡产风险；事业：破产、倒闭、失业；感情：因财失和、家庭破裂；健康：因财伤身、急火攻心；今日建议：关闭所有账户，不碰任何钱财往来。,30
5,凶,官司缠身,官司口舌闹纷纷，有理难辩气难伸。破财消灾方得免，否则牢狱祸临身。,财运：因官司破财、罚款；事业：因纠纷停业、整顿；感情：因官司分离、反目；健康：焦虑成疾、精神崩溃；今日建议：主动和解，破财消灾，避免诉讼。,30
6,凶,出行大凶,出行路上遇灾星，车翻马倒祸难平。劝君莫踏他乡路，守宅平安度此生。,财运：出行破财、被盗、被骗；事业：出差失败、项目流产；感情：异地恋分手、出行遇桃花劫；健康：车祸、摔伤、意外死亡；今日建议：绝对不出门，取消所有行程。,30
7,凶,谋望大败,谋望之事必成空，千辛万苦付东风。早知今日空费力，不如当初守困穷。,财运：求财不得，反遭损失；事业：所有计划失败，努力白费；感情：求爱被拒、婚姻不成；健康：劳累过度、积劳成疾；今日建议：放弃所有目标，安心休息。,30
8,凶,家宅不宁,家宅不宁祸事多，鸡飞狗跳闹风波。父子不和兄弟怨，夫妻反目各西东。,财运：家宅破财、被盗、失火；事业：因家庭琐事影响工作；感情：家庭矛盾、夫妻离婚；健康：家人多病、意外伤亡；今日建议：家庭和睦，忍让为先，避免争吵。,30
9,凶,感情破裂,恩爱夫妻反目仇，海誓山盟一旦休。破镜难圆终有恨，不如放手各自由。,财运：因感情破财、分割财产；事业：因感情分心、工作失误；感情：分手、离婚、背叛；健康：心碎成疾、抑郁自杀；今日建议：接受现实，放手止损，调整心态。,30
10,凶,健康大险,病魔缠身苦不堪，药石无功病难痊。劝君早作修善事，祈求平安度晚年。,财运：因病破财、花光积蓄；事业：因病失业、无法工作；感情：因病被抛弃、无人照顾；健康：绝症、重病、生命垂危；今日建议：立即就医，安心养病，多行善事。,30
11,凶,被骗大破,贪得高利入圈套，被骗钱财空懊恼。哭天喊地无用处，只怪当初太心高。,财运：被骗光所有积蓄、负债累累；事业：被合伙人欺骗、项目被骗；感情：被感情骗子欺骗、人财两空；健康：急火攻心、中风瘫痪；今日建议：报警处理，接受现实，从头再来。,30
12,凶,妄动招灾,妄动必然招大祸，守身守命莫蹉跎。莫求名利莫贪色，平安二字值千金。,财运：一动就破财，不动则安；事业：一动就失败，不动则稳；感情：一动就吵架，不动则和；健康：一动就受伤，不动则康；今日建议：绝对不动，在家静坐。,30
13,凶,是非大祸,是非大祸难脱身，千夫所指万人嗔。远离纷争远离祸，守心守口保安宁。,财运：因是非破财、名誉受损；事业：因是非被开除、身败名裂；感情：因是非被误解、众叛亲离；健康：因是非被打、受伤；今日建议：闭门不出，不与人言，等待风波过去。,30
14,凶,事业大败,事业大败难挽回，十年辛苦化成灰。不如归隐山林里，粗茶淡饭度余生。,财运：事业破产、负债累累；事业：公司倒闭、失业下岗；感情：因事业失败被抛弃；健康：压力过大、精神崩溃；今日建议：辞职休息，调整心态，重新规划。,30
15,凶,贪则大祸,贪名贪利必大祸，贪色贪财必遭磨。安分守己清贫过，方能平安免灾磨。,财运：因贪破财、因贪入狱；事业：因贪被查、身败名裂；感情：因贪色出轨、家庭破裂；健康：因贪吃喝得病、肥胖三高；今日建议：戒贪戒欲，知足常乐。,30
16,凶,人际大凶,人际大凶众叛离，无人助力受人欺。断绝来往少社交，守身守己免灾危。,财运：被朋友骗、被同事坑；事业：被孤立、被排挤、无人帮；感情：被朋友抢对象、被闺蜜背叛；健康：因人际矛盾气出病；今日建议：少社交，少来往，独来独往。,30
17,凶,酒色招灾,酒色招灾不可为，风流场中祸相随。远离是非远离色，安稳平安免祸危。,财运：因酒色破财、被敲诈勒索；事业：因酒色误事、被开除；感情：因酒色出轨、离婚；健康：因酒色伤身、性病、肝病；今日建议：戒酒戒色，清心寡欲。,30
18,凶,强求必凶,凡事强求必遇凶，放弃等待运再通。守宅守身多行善，方能平安过寒冬。,财运：强求求财必破财；事业：强求升职必失败；感情：强求复合必受伤；健康：强求康复必加重；今日建议：放弃强求，顺其自然。,30
19,凶,守身免灾,唯有守身可免灾，莫行莫动莫求财。在家安静多行善，方能平安避祸来。,财运：求财必败，守财则安；事业：做事必错，不做则安；感情：谈情必伤，不谈则安；健康：出门必伤，不出则安；今日建议：在家待着，什么都不做。,30
20,凶,天灾人祸,天灾人祸突然来，防不胜防实可哀。劝君多积阴德事，逢凶化吉免祸灾。,财运：因天灾人祸破财、财产损失；事业：因天灾人祸停业、倒闭；感情：因天灾人祸分离、死亡；健康：因天灾人祸受伤、死亡；今日建议：多行善事，祈求平安。,30
21,凶,官非临身,官非临身事难休，破财消灾是良谋。若还固执强争理，牢狱之灾在后头。,财运：因官非破财、罚款、没收财产；事业：因官非被调查、停业；感情：因官非分离、离婚；健康：因官非焦虑、失眠；今日建议：主动认错，破财消灾，避免牢狱。,30
22,凶,失物难寻,失物难寻影无踪，费尽心思总是空。劝君莫再苦追寻，破财免灾保平安。,财运：丢失贵重物品、被盗；事业：丢失重要文件、项目失败；感情：丢失爱人、无法挽回；健康：丢失健康、生病；今日建议：放弃寻找，接受损失。,30
23,凶,谋事不成,谋事不成反受殃，惹得一身是非忙。不如静坐家中坐，免教灾祸到身旁。,财运：谋财不得，反遭损失；事业：谋事不成，反被牵连；感情：谋爱不成，反被羞辱；健康：谋事劳累，生病受伤；今日建议：不谋事，不做事，在家休息。,30
24,凶,六亲无靠,六亲无靠独自行，孤苦伶仃无人疼。凡事只能靠自己，莫指望人来帮衬。,财运：无人借钱，无人投资，只能靠自己；事业：无人帮助，无人提携，只能靠自己；感情：无人介绍，无人关心，只能靠自己；健康：无人照顾，只能靠自己；今日建议：独立自强，不依赖任何人。,30
25,凶,运途蹇滞,运途蹇滞步难行，事事不顺心不宁。劝君莫要强出头，守待时来运再通。,财运：事事破财，处处不顺；事业：事事失败，处处碰壁；感情：事事不顺，处处吵架；健康：事事生病，处处受伤；今日建议：低调做人，不与人争，等待时机。,30
26,凶,口舌成灾,口舌成灾祸连连，是非不断扰心田。守口如瓶少言语，免教灾祸到身边。,财运：因口舌破财、被人讹诈；事业：因口舌被开除、身败名裂；感情：因口舌吵架、分手；健康：因口舌被打、受伤；今日建议：少说话，多做事，不与人争。,30
27,凶,疾病缠绵,疾病缠绵久不愈，药石无功苦自知。劝君安心养身体，莫要操劳费心思。,财运：因病破财、花光积蓄；事业：因病失业、无法工作；感情：因病被抛弃、无人照顾；健康：慢性病、久治不愈；今日建议：安心养病，停止工作，注意休息。,30
28,凶,婚姻不顺,婚姻不顺多坎坷，夫妻不和常吵骂。若还勉强在一起，终有一日各天涯。,财运：因婚姻破财、分割财产；事业：因婚姻分心、工作失误；感情：夫妻不和、离婚；健康：因婚姻气出病、失眠；今日建议：沟通解决，实在不行就离婚。,30
29,凶,投资必败,投资必败血本无，投机取巧祸临身。劝君莫要贪小利，守财安分度光阴。,财运：投资必亏，投机必败；事业：投资项目失败、公司亏损；感情：因投资失败被抛弃；健康：因投资失败急火攻心；今日建议：不投资，不投机，守财为上。,30
30,凶,远行不利,远行不利遇灾殃，路途艰险多阻挡。劝君莫要离家乡，守宅平安福自长。,财运：远行破财、被盗、被骗；事业：出差失败、项目流产；感情：异地恋分手、远行遇桃花劫；健康：远行生病、意外受伤；今日建议：不远行，不出门，在家待着。,30
31,小凶,风波乍起,风波忽起莫前行，守待天时莫强行。财利不宜轻举动，恐因急躁损安宁。,财运：有破财风险，忌投资、借贷；事业：有波折，不宜冲动决策；感情：有争吵，需冷静沟通；健康：有小恙，注意休息；今日建议：宜静不宜动，耐心等待。,30
32,小凶,迷津失路,举目茫然路未明，莫贪捷径误前程。守心静待贵人至，方可从容避险坑。,财运：求财迷茫，易走弯路；事业：方向不明，易犯错误；感情：感情迷茫，不知何去何从；健康：精神恍惚，易出意外；今日建议：不做决策，等待贵人。,30
